|!-hire.CalculateChargeFairly-!|
|''$/hour''|''$/day''|''hours''|''days''||''cost in $''|
| 1.00     |  5.00   |  3      | 0      || 3.00   |
| 1.00     |  5.00   |  4      |        || 4.00   |
| 1.00     |  5.00   |  5      |        || 5.00   |
| 1.00     |  5.00   |  6      |        || 5.00   |
| 1.00     |  5.00   |  11     |        || 5.00   |
| 1.00     |  5.00   |  3      | 1      || 8.00   |
| 1.00     |  5.00   |  4      |        || 9.00   |
| 1.00     |  5.00   |  5      |        ||10.00   |
| 1.00     |  5.00   |  6      |        ||10.00   |
| 1.00     |  5.00   |  11     |        ||10.00   |
| 1.00     |  2.00   |  1      | 0      || 1.00   |
| 1.00     |  5.00   |  3      |        || 2.00   |
| 1.00    |  5.00    |  3     | 0       || 3.00   |
| 1.00    |  5.00    |  4     |         || 4.00   |
| 1.00    |  5.00    |  5     |         || 5.00   |
| 1.00    |  5.00    |  6     |         || 5.00   |
| 1.00    |  5.00    |  3     | 1       || 8.00   |
| 1.00    |  5.00    |  4     |         || 9.00   |
| 1.00    |  5.00    |  5     |         ||10.00   |
| 1.00    |  5.00    |  6     |         ||10.00   |

.FitBook.TableDesign.LotsOfSimilarTests.BusinessRule
