[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
DEFAULTS_NOT_CONFIGURED,Not Configured Default Accounts,Not Configured Default Accounts,Asset,,No,Yes,SUMMARY,
B_ASSET,Checking Account,Bank Asset,Asset,,Yes,No,B_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
B_INTRANSIT,Checking In-Transfer,Bank transactions in transit,Asset,,Yes,No,B_INTRANSIT_ACCT,DEFAULTS_NOT_CONFIGURED
B_UNALLOCATEDCASH,Checking Unallocated Receipts,"Received, unallocated payments",Asset,,Yes,No,B_UNALLOCATEDCASH_ACCT,DEFAULTS_NOT_CONFIGURED
CB_ASSET,Petty Cash,Cash Book Asset,Asset,,Yes,No,CB_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
CB_CASHTRANSFER,Petty Cash In-Transfer,Cash Book Transfer,Asset,,Yes,No,CB_CASHTRANSFER_ACCT,DEFAULTS_NOT_CONFIGURED
C_RECEIVABLE,Accounts Receivable - Trade,Accounts Receivables,Asset,,Yes,No,C_RECEIVABLE_ACCT,DEFAULTS_NOT_CONFIGURED
C_RECEIVABLE_SERVICES,Accounts Receivable Services - Trade,Accounts Receivables for Services,Asset,,Yes,No,C_RECEIVABLE_SERVICES_ACCT,DEFAULTS_NOT_CONFIGURED
V_PREPAYMENT,Vendor prepayment,Prepayments for future expense,Asset,,Yes,No,V_PREPAYMENT_ACCT,DEFAULTS_NOT_CONFIGURED
T_CREDIT,Tax credit A/R,Tax to be reimbursed - before tax declaration,Asset,,Yes,No,T_CREDIT_ACCT,DEFAULTS_NOT_CONFIGURED
INTERCOMPANYDUEFROM,Intercompany Due From,Default Receivables account for intercompany trx,Asset,,Yes,No,INTERCOMPANYDUEFROM_ACCT,DEFAULTS_NOT_CONFIGURED
P_ASSET,Product asset,Product Inventory Account,Asset,,Yes,No,P_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
PJ_ASSET,Project asset,Created Asset,Asset,,Yes,No,PJ_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
PJ_WIP,Project WIP,Asset Work in Progress,Asset,,Yes,No,PJ_WIP_ACCT,DEFAULTS_NOT_CONFIGURED
V_LIABILITY,Accounts Payable Trade,Accounts Payables,Liability,,Yes,No,V_LIABILITY_ACCT,DEFAULTS_NOT_CONFIGURED
NOTINVOICEDRECEIPTS,Not invoiced receipts,"Received products/services from vendors, but not invoiced",Liability,,Yes,No,NOTINVOICEDRECEIPTS_ACCT,DEFAULTS_NOT_CONFIGURED
V_LIABILITY_SERVICES,Accounts Payable Services,Accounts Payables for non-product revenue,Liability,,Yes,No,V_LIABILITY_SERVICES_ACCT,DEFAULTS_NOT_CONFIGURED
B_PAYMENTSELECT,Payment selection,Selected A/P invoices for payment ,Liability,,Yes,No,B_PAYMENTSELECT_ACCT,DEFAULTS_NOT_CONFIGURED
